Asset ID,Name,Service Tag,Comment,Added by,Email of added by user,Phone of added by user,Assigned to,Email of assigned user,Phone of assigned user,Category,Dimension,IP,MAC,Serial Number,Host Name,OS,Cost,Depreciated Value,Net Change,Depreciation Rate,Brand,Vendor,Vendor Phone number,Purchase Date
A001,Macbook 1,null,null,Suzy Birdy,SueBird@gmail.com,1234567890,null,null,null,Hardware,15 inch,128.0.0.1,40:85:1E:1A:CA:6D,65433120,null,MACOS,2050.99,1500.00,-550.99,10% per year,Apple,Best Buy,1234567890,2019-11-11
A002,Ipad 1,null,null,Suzy Birdy,SueBird@gmail.com,1234567890,null,null,null,Hardware,10.5 inch,128.0.0.1,0B:F1:42:C9:D9:7F,65432723,null,IpadOS,999.99,700.00,-299.99,10% per year,Apple,Best Buy,1234567890,2022-04-08
A003,Desktop PC 1,null,16GB RAM 2TB Storage,Helen James,HelenHames@gmail.com,1234567890,null,null,null,Hardware,null,128.0.0.8,AF:5F:3F:F0:10:74,6536723,null,Windows,4000.00,2200.00,-1800.00,5% per month,null,Costco,1234567890,2022-04-08
A004,Company Phone 1,null,null,Helen James,HelenHames@gmail.com,1234567890,null,null,null,Hardware,null,128.33.43.3,AB:49:82:FA:09:73,653322133,null,Android,700.00,500.75,-199.25,TESTING DESCRIPTION,Google,Bell,1234567890,2011-02-22
A005,Couch,null,null,Helen James,HelenHames@gmail.com,1234567890,null,null,null,Furniture,17 by 14 by 30 (inch),null,null,65433120,null,null,450.00,null,null,null,null,Walmart,1234567890,2017-05-06
A006,Lamp,null,null,Ricky Smooth,Rick@gmail.com,1234567890,null,null,null,Furniture,null,null,null,235322420,null,null,50.00,null,null,5% per month,null,Costco,1234567890,2022-04-08
A007,Office Desk,null,null,Sammy Rue,Sams@gmail.com,1234567890,null,null,null,Furniture,20 by 30 by 18 (inch),null,null,895453420,null,null,80.00,null,null,5% per month,null,null,null,2022-04-08
A008,Table,null,null,Sammy Rue,Sams@gmail.com,1234567890,null,null,null,Furniture,15 by 12 by 4 (inch),null,null,233242230,null,null,80.00,null,null,5% per month,null,null,null,2000-08-12
A009,Office Chair,null,null,Breezy fenty,Chriss@gmail.com,1234567890,null,null,null,Furniture,null,null,null,732312230,null,null,30.00,null,null,5% per month,null,null,null,2022-04-08
A010,Vaccum,null,null,MikeT Tyson,MikeTy@gmail.com,1234567890,null,null,null,Furniture,null,null,null,732312230,null,null,200.00,null,null,5% per month,null,Bell,1234567890,2022-04-08
A011,Massage Chair,null,null,admin1 admin1,admin1@admin.com,0234567890,null,null,null,Furniture,null,null,null,45432230,null,null,400.00,null,null,7% per day,null,Amazon,1234567890,2015-06-06
A012,Humidifier,null,null,admin1 admin1,admin1@admin.com,0234567890,null,null,null,Furniture,null,null,null,2142324,null,null,200.00,null,null,14% per month,null,Amazon,1234567890,2022-04-08
A013,Final Cut Pro,null,null,Mike Johnson,mjohnson@user.com,2222222222,null,null,null,Software,null,null,null,33453214,null,MACOS,100.00,null,null,null,Apple,null,null,2022-04-08
A014,Google Drive,null,Charged annually,George Williams,gwilliams@user.com,5555555555,null,null,null,Software,null,null,null,null,null,null,40.00,null,null,null,Google,null,null,2022-04-08
A015,DVM Pro,null,null,in active,test@gmail.com,1234567890,null,null,null,Software,null,null,null,null,null,null,90.00,null,null,null,Samsung,null,null,2022-04-08
A016,Norton Antivirus,null,Charged annually,John Doe,JohnDoe@gmail.com,1234567890,null,null,null,Software,null,null,null,null,null,null,90.00,null,null,null,Norton,null,null,2022-04-08
A017,Adobe Photoshop,null,Charged monthly,John Doe,JohnDoe@gmail.com,1234567890,null,null,null,Software,null,null,null,null,null,null,14.99,null,null,null,Adobe,null,null,2022-04-08
A018,Adobe Reader Pro,null,Charged monthly,Tom Parker,tparker@user.com,4444444444,null,null,null,Software,null,null,null,null,null,null,6.99,null,null,null,Adobe,null,null,2022-04-08
A019,iCloud,null,Charged monthly,Nathan Thompson,nthompson@user.com,2222222222,null,null,null,Software,null,null,null,null,null,null,11.99,null,null,null,Apple,null,null,2022-04-08
A020,sketchUp,null,Charged annually,admin1 admin1,admin1@admin.com,0234567890,null,null,null,Software,null,null,null,null,null,null,100.99,null,null,null,Google,null,null,2022-04-08
A021,Youtube Premium,null,Charged monthly,MikeT Tyson,MikeTy@gmail.com,1234567890,null,null,null,Software,null,null,null,null,null,null,10.99,null,null,null,Google,null,null,2022-04-08
ABC123,Work Laptop,service_tag,Work computer,RickisNumber1 James,RickHames@gmail.com,1234567890,null,null,null,Hardware,15 inch,128.0.0.1,0000-9582,98813120,hostname:localhost,null,1000.99,900.00,-100.99,10% per year,Asus,Third Vendor,3333333333,2022-02-06
ABC124,Kitchen Table,service_tag,Kitchen table,MikeT Tyson,MikeTy@gmail.com,1234567890,null,null,null,Furniture,null,null,null,null,null,null,750.00,600.00,-150.00,7% per day,Maiden Home,Second Vendor,2222222222,2022-04-08
ABC125,Oracle Software,service_tag,Database Software,RickisNumber1 James,RickHames@gmail.com,1234567890,null,null,null,Software,null,null,null,null,null,null,150.00,null,null,10% per month,Oracle,First Vendor,1234567890,2018-09-09
ABC126,Dell laptop,service_tag,Work laptop,Smith #$#@12DD,Smiths@gmail.com,1234567890,null,null,null,Hardware,17 Inch,128.0.0.4,3455-3333,3332214,localhost,null,1500.00,900.00,-600.00,5% per month,Dell,Second Vendor,2222222222,2016-02-01
ABC127,Rest station,service_tag,Bed to sleep,RickisNumber1 James,RickHames@gmail.com,1234567890,null,null,null,Furniture,null,null,null,null,null,null,1500.00,900.00,-600.00,14% per month,Maiden Home,Second Vendor,2222222222,2019-09-10
ABC128,MSI laptop,service_tag,Work laptop,Smith #$#@12DD,Smiths@gmail.com,1234567890,null,null,null,Hardware,17 Inch,128.0.0.4,3455-3333,3332214,localhost,null,1500.00,900.00,-600.00,5% per month,MSI,First Vendor,1234567890,2014-02-13
ABC129,Dell laptop,service_tag,Work laptop,Smith #$#@12DD,Smiths@gmail.com,1234567890,null,null,null,Hardware,17 Inch,128.0.0.4,3455-3333,3332214,localhost,null,1500.00,900.00,-600.00,5% per month,Dell,Second Vendor,2222222222,2015-05-05
ABC130,Dell laptop,service_tag,Work laptop,Smith #$#@12DD,Smiths@gmail.com,1234567890,null,null,null,Hardware,17 Inch,128.0.0.4,3455-3333,3332214,localhost,Windows,1500.00,900.00,-600.00,5% per month,Dell,Second Vendor,2222222222,2017-12-31
ABC131,Dell laptop,service_tag,Work laptop,Suzy Birdy,SueBird@gmail.com,1234567890,null,null,null,Hardware,17 Inch,128.0.0.4,3455-3343,3932214,localhost,Windows,2000.00,1999.00,-1.00,5% per month,Dell,Second Vendor,2222222222,2022-04-08
